,Season,TeamID,Seed,OrdinalRank,PIE,FG_PCT,TURNOVER_RATE,OFF_REB_PCT,FT_RATE,4FACTOR,OFF_EFF,DEF_EFF,ASSIST_RATIO,DEF_REB_PCT,FT_PCT,WINPCT,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM_SOS,OppO_SOS,OppD_SOS,AdjEM_NCSOS,Season_ELO
10,2005,1417,11,29.0,0.5410996911239561,0.5148224425583906,0.19409114341483247,0.3573804537488681,0.3995337638220395,0.3858579182001439,108.93738746595247,104.79022547087921,14.735320030217192,0.6969993614728605,0.7233592721938267,0.6428571428571429,10.74,107.8,97.1,69.2,0.036000000000000004,6.73,106.7,100.0,-0.43,1735.1250285378171
11,2005,1203,12,80.0,0.6239532055800147,0.5257255003598893,0.17905502470762702,0.37361225608435844,0.41547919594876687,0.3920982869300492,114.65212820925784,99.16246789926264,16.06993637532822,0.6702820037191684,0.7051650282023069,0.7586206896551724,14.41,109.9,95.5,70.8,-0.013,0.49,103.6,103.1,0.84,1781.5968240345335
13,2005,1457,14,72.0,0.6094713985685611,0.5080167205637943,0.1861107555221797,0.34109629262154745,0.4228227186367931,0.3813770434258911,109.70353115692643,96.61978101424339,15.5799605266549,0.7030892031782129,0.6821797146198676,0.8275862068965517,4.97,101.5,96.5,63.1,0.065,-7.69,99.6,107.3,2.26,1562.8544205278772
14,2005,1151,15,126.0,0.5500417480265639,0.4939914618142053,0.208831919816283,0.3841622578569258,0.44606339144856266,0.39354652496842235,105.34953399086163,101.58740147327023,13.913767178524061,0.7309984956130445,0.6734141250050242,0.6296296296296297,0.03,98.9,98.8,67.6,0.059,-3.78,101.1,104.9,5.69,1534.1389711216113
15,2005,1285,16,174.0,0.5374011024902811,0.5155036870949888,0.21431633802379252,0.32053898021875016,0.5044490957489656,0.39955571975003856,104.38878622202787,103.72593906767108,14.783742609406907,0.7051509589694729,0.6686786705317757,0.5714285714285714,-2.73,99.9,102.6,68.2,0.049,-4.35,100.4,104.8,4.56,1459.668504590025
16,2005,1228,1,3.0,0.6701569501055473,0.5635164200271915,0.1438036772062151,0.3437194767338143,0.30713290344712185,0.37617131817626154,123.8719181824136,96.45129032217326,19.464119155825784,0.6995461015026816,0.7258455154548408,0.9696969696969697,32.68,122.3,89.6,64.1,-0.006999999999999999,8.16,107.3,99.1,0.31,2069.2008262353006
17,2005,1329,2,7.0,0.6283087851306816,0.5628577489249765,0.17535653582242733,0.36748901271219836,0.36615126064203213,0.3974027251643419,121.70898355476317,103.03872065700256,17.377224886289365,0.6892840541395486,0.7717286877899494,0.7931034482758621,25.02,121.2,96.2,66.2,-0.015,9.59,108.0,98.4,5.03,1971.1636971976882
18,2005,1112,3,8.0,0.5967341826030278,0.5280129014389398,0.17559050656331102,0.39581935949543645,0.31302383109779897,0.3812202337801608,116.5482444419894,101.96135404348497,16.185453657694246,0.6566611841868726,0.7643222520915729,0.8181818181818182,22.22,116.7,94.5,68.6,0.027000000000000003,8.12,107.8,99.7,3.33,1964.3967634579194
19,2005,1130,4,9.0,0.6173012845988759,0.48921164763381025,0.1617211270854942,0.4026771596018309,0.4302346926076912,0.38118557663641756,114.57485422055626,101.86067872821661,17.7651255597655,0.6560967057454814,0.7084759942539471,0.8571428571428571,18.3,114.3,96.0,64.8,0.078,6.6,105.8,99.2,-4.21,1869.4758763176826
20,2005,1104,5,13.0,0.6623329510005502,0.555190635323975,0.16757165791393866,0.335826007487404,0.4669198497405489,0.4011723475666378,119.49737188984373,103.1919053764722,15.299523443390633,0.702248959583196,0.7361742138936355,0.7666666666666667,20.51,118.8,98.3,62.8,0.033,6.84,106.5,99.6,-1.28,1895.5209012111889
21,2005,1261,6,25.0,0.5729034221701316,0.5231641196132196,0.1663469603566623,0.3437950527527023,0.41365596530894316,0.3816597932813354,115.67271697262491,109.39380994023331,15.765002185585129,0.7102527658731703,0.7341944373491162,0.6896551724137931,13.8,113.9,100.1,66.7,0.07,7.49,107.0,99.5,0.64,1823.8465666308578
22,2005,1356,7,16.0,0.5737565311501899,0.5039148596053794,0.17104017688175893,0.3431814252218866,0.2744149904457875,0.3541245216738369,109.48030056254998,98.35062856887667,15.07559999633663,0.6687054612209493,0.7322915911850535,0.78125,16.75,109.1,92.4,63.4,0.015,6.1,106.7,100.6,4.17,1795.9479452961484
23,2005,1400,8,34.0,0.616665996750972,0.5285164589592195,0.17347888937786432,0.39135113717001446,0.43731951872813524,0.3986444611713771,116.83064280659502,103.97751901128834,13.901510810776276,0.6718268452573919,0.6993864938706394,0.6551724137931034,17.01,114.1,97.1,66.5,-0.051,6.62,107.0,100.4,-2.46,1842.0173615849478
24,2005,1305,9,27.0,0.6324933592636117,0.48892477270503065,0.18417314421914324,0.36533499429561145,0.4720144333379101,0.3854823589966069,108.20820441619037,96.90752482460202,15.926859759654496,0.7141355445062163,0.7019804734257784,0.7931034482758621,12.11,104.0,91.8,65.7,0.045,1.1,104.5,103.4,0.35,1792.4362566364075
25,2005,1388,10,31.0,0.5699047169398352,0.5061851075111241,0.19791570106430495,0.3691706322435942,0.43797429572222857,0.391483239077579,109.11932679325314,101.84229874587936,12.422258513283602,0.6685012766408783,0.7083950204490261,0.7419354838709677,9.41,106.8,97.4,64.9,0.08,3.04,105.2,102.2,-0.59,1676.8208855617133
26,2005,1412,11,64.0,0.5642328837667706,0.5106321829498637,0.1582283173615418,0.3218078935402427,0.3918658364070351,0.3669514066894347,112.1578027660959,103.30040911276905,15.697427839973393,0.6217278170376062,0.6959776137442981,0.6774193548387096,12.51,109.2,96.7,71.0,-0.001,4.75,105.5,100.7,1.33,1763.9460020494832
27,2005,1454,12,55.0,0.6011506257846316,0.5058287708804796,0.16883484792906284,0.36568535685977943,0.372033428625851,0.3734823060002911,112.22623998857577,97.91745066873946,13.914985648790323,0.65391328457222,0.6937752237553316,0.8148148148148148,14.69,110.1,95.4,68.8,0.079,2.31,104.6,102.3,7.63,1756.0069519963224
28,2005,1335,13,51.0,0.6226175296359799,0.5003857620271971,0.19561541773000668,0.35904089623364926,0.4354301469485426,0.3861808605323917,106.2867542249192,94.26960437280484,15.19351674200422,0.7081739137810099,0.6604975448960806,0.7142857142857143,9.6,102.1,92.5,68.2,0.034,-1.72,101.8,103.5,3.31,1690.385588917462
29,2005,1429,14,76.0,0.6910111093613648,0.5944563369516469,0.17406475065245677,0.34633678691741643,0.3982202946673721,0.41029912402736196,123.17491787447966,97.15917683774576,19.300213823530015,0.7150170269910412,0.698360108585509,0.7741935483870968,19.62,116.0,96.4,61.1,-0.094,-2.48,101.3,103.8,-4.48,1792.9302138955918
30,2005,1368,15,134.0,0.5967332395659682,0.4888943183524251,0.19537357919905035,0.32914377821302276,0.4373198823140525,0.3758278601304451,102.92792820927296,94.25021256082655,13.069550034747252,0.6773246821479426,0.6280344189254885,0.7037037037037037,3.2,97.1,93.9,60.0,0.006999999999999999,-4.75,100.3,105.1,-1.78,1460.3319362501688
31,2005,1192,16,165.0,0.5386231759318488,0.5067558363165513,0.16663853119439753,0.3404802005030957,0.3348998239995475,0.3626929810257712,110.4295117834254,105.27510116349188,15.310310509485454,0.6829970888029566,0.6634172848891515,0.6129032258064516,-2.52,102.7,105.2,68.6,-0.003,-7.88,99.4,107.3,0.75,1410.7362429859272
32,2005,1181,1,5.0,0.6521879537759654,0.5277298297649083,0.16271334771760143,0.3725892391621388,0.42760064773849377,0.39042821382856546,117.99859036341621,97.41155067034813,13.554905634862516,0.6334563050448896,0.7118138050081219,0.8333333333333334,27.41,115.7,88.3,68.3,-0.002,10.89,109.5,98.6,1.51,2096.1417197741216
33,2005,1246,2,11.0,0.6475784363784893,0.518999630919247,0.16437072089760782,0.3606083357029217,0.37748161786460116,0.37743644241237523,113.54684887161025,95.32539209686864,15.837089146161889,0.6682310913094431,0.6623564016819382,0.8333333333333334,24.1,113.0,88.9,66.6,0.032,8.85,107.9,99.1,-2.71,2032.916524777765
34,2005,1328,3,12.0,0.6217467730334062,0.543151010953498,0.1736688794020255,0.38328457420818207,0.35542806701580426,0.3906487491259127,117.69649945653741,98.5800389219689,16.501636887505438,0.6809861166985187,0.6637547576879461,0.7741935483870968,22.55,114.4,91.8,65.4,-0.006,7.68,107.5,99.8,0.09,1915.1800369860562
35,2005,1393,4,24.0,0.613823530027204,0.5291599983287444,0.16593062885893628,0.40644165454560777,0.39973862001440713,0.3943957804575144,117.84441002731194,101.4057114761989,16.004221434029095,0.6413380348434387,0.6682371323505408,0.8181818181818182,20.98,115.6,94.7,65.8,0.002,6.29,106.8,100.5,-4.57,1930.6977222720825
36,2005,1277,5,20.0,0.6528999114601196,0.5557120681762254,0.17625717726918563,0.3865540387176677,0.3715511105853643,0.39939259591912474,121.9888497624468,99.18274920370018,18.37958657739732,0.7343540164522988,0.7769471019268592,0.7857142857142857,25.67,119.7,94.0,66.4,-0.013,7.89,107.0,99.1,-3.18,1933.5144052260373
37,2005,1428,6,22.0,0.6559111430687424,0.5609161433281871,0.2051359843317152,0.3999911192875014,0.46869236135070474,0.42595253147430967,117.0326945019273,99.02670985790047,16.88686405569168,0.7503726007054125,0.7283474762228247,0.8333333333333334,20.33,113.1,92.7,59.1,0.032,3.6,105.9,102.3,-4.04,1854.0098901008205
38,2005,1153,7,19.0,0.6903219959273518,0.4998315584860196,0.16122465359398302,0.3912407576735252,0.4802151439679558,0.390519209922802,115.2965742839093,97.47562132483758,15.203543510995292,0.655511034346506,0.6997611196783716,0.7741935483870968,20.43,112.5,92.0,68.0,-0.006,5.48,106.1,100.6,0.62,1898.6062727811911
39,2005,1390,8,39.0,0.5242349057092384,0.47424111631162713,0.17421626394937512,0.347943273291163,0.3905524492733209,0.36142203456122535,106.24300262092962,103.41084247314359,13.066516493455712,0.6607899374037174,0.7268895767250001,0.6,10.63,106.6,95.9,67.1,0.049,8.47,107.5,99.1,4.14,1867.4468308173857
40,2005,1280,9,30.0,0.5795986131070819,0.4953806247734582,0.18365096113330168,0.40596426055266244,0.4260279719116211,0.3891620380899844,109.74065756689753,100.5267871729115,14.3860933644161,0.7100878003556435,0.6644775618146799,0.6875,15.25,109.3,94.0,68.1,0.038,6.49,106.9,100.4,-1.84,1873.8428721399823
41,2005,1234,10,54.0,0.5761640480501365,0.5234794868846646,0.1814491257697663,0.3256983549875756,0.4141547459768097,0.38201695909034405,110.99783578894109,101.79641942886965,16.1224575171178,0.6840317054700522,0.6798188661334572,0.65625,17.17,111.9,94.7,68.1,-0.034,9.51,107.4,97.9,3.4,1783.6022667829884
42,2005,1431,11,52.0,0.5966094429345964,0.5171858878048514,0.15655571038977137,0.3396730592484769,0.4138906716631002,0.37603149531854385,117.73487264135284,103.62468136126708,17.2925160624737,0.6842772235600287,0.7916700617587346,0.78125,11.62,112.7,101.1,65.9,0.015,-0.68,102.2,102.9,-5.3,1719.6696797676007
43,2005,1330,12,33.0,0.6470883051253834,0.49483643324377546,0.15536786643296324,0.33280311906628157,0.36793051683197986,0.35852674124380435,109.71757222061528,94.60520848265142,16.951342387452538,0.6836316608498443,0.6883040903371387,0.84375,10.04,104.7,94.6,66.4,0.049,-3.2,101.0,104.2,-3.98,1670.2552788528214
44,2005,1436,13,23.0,0.6082030175590484,0.5184166087864014,0.15336985148329946,0.3403782638388187,0.3355948330965764,0.3641239841176357,115.75665955006775,98.44977375840014,16.869685383574907,0.7433031006761447,0.7090050523836242,0.8,13.53,111.3,97.8,64.7,0.032,-1.71,100.7,102.4,5.11,1571.054330349997
45,2005,1310,14,97.0,0.5361044719027164,0.5080415698323568,0.14394719115192647,0.4055496493787487,0.42876174908969555,0.3846276179601284,122.91118484601128,112.52150643079719,15.147237669349458,0.7140765850981442,0.7562746953033906,0.6896551724137931,5.43,115.2,109.8,70.1,-0.027000000000000003,-3.52,101.3,104.8,0.83,1611.4516194711389
46,2005,1184,15,103.0,0.5249073341342537,0.5299063053301776,0.1813166745989552,0.3333846795631607,0.3216268621986822,0.3722126560242443,110.26004197931755,105.22373223190687,15.814676601700866,0.6852836736602792,0.6743532988161915,0.7037037037037037,1.98,102.8,100.8,66.1,0.099,-3.87,102.4,106.3,1.72,1442.221445092339
47,2005,1175,16,136.0,0.5281959553445202,0.49853111434080066,0.19739941200446998,0.32647950321780306,0.4456860536699474,0.3809111074314905,106.45018171085876,105.8421504494269,13.04766197678844,0.6149548847630091,0.7458406015687897,0.59375,-4.95,102.3,107.2,59.3,0.077,-7.47,97.1,104.6,9.89,1396.785505312913
48,2005,1314,1,4.0,0.6701155821856452,0.5596577576515166,0.18424530559956795,0.39640391638997247,0.46338535538190406,0.4187130160457787,121.15099063631355,96.33762632583758,17.434880871429012,0.6939347051743697,0.7352194909311497,0.8709677419354839,32.77,122.5,89.7,73.1,0.011,11.64,108.7,97.1,4.26,1993.768287164172
49,2005,1163,2,15.0,0.6422006154068293,0.5071068542464726,0.17614632535792726,0.4167740466653024,0.43373406163841,0.3952942416168929,114.30723043558879,97.99709561193919,16.582328923876616,0.6946126552149745,0.6814809527584006,0.7586206896551724,21.94,112.1,90.2,70.6,-0.031,8.52,108.5,100.0,-1.04,1959.5957245721802
50,2005,1242,3,1.0,0.6346558224828149,0.5385483875083495,0.18049500016868042,0.35441037733152553,0.3941626688626065,0.39054958084120606,115.30368421205671,100.31339650008894,16.969911794052706,0.6680372714961371,0.6886273810753558,0.7931034482758621,23.08,115.6,92.5,66.5,0.008,10.45,108.1,97.7,10.37,1962.181820092588
51,2005,1196,4,26.0,0.6630438460237741,0.557748014482378,0.17325715434316566,0.35402794141475624,0.41991281700793137,0.4002060052128835,119.43214143255553,97.9568542973181,15.907519115587988,0.7157495346487064,0.7009418653896329,0.7666666666666667,23.93,116.4,92.5,65.2,-0.027000000000000003,7.13,106.6,99.5,-4.3,1964.3137380952646
52,2005,1437,5,14.0,0.6240671377835654,0.5085550817310045,0.15848778848576373,0.41527553954566393,0.3765174597125973,0.3825767066798651,117.31131896586575,99.14804107442447,13.518841863050813,0.6416625248377767,0.731643144197275,0.7586206896551724,25.02,114.7,89.7,67.0,-0.054000000000000006,9.16,107.9,98.7,-0.89,1863.8238159436057
53,2005,1458,6,18.0,0.5881393508716164,0.5070986615480121,0.1551575466200299,0.3118967369012007,0.39062489605874007,0.3626019330632634,110.89735214466748,98.99943712483591,14.969859860088503,0.7442584572631655,0.6659470680636608,0.7333333333333333,20.81,112.0,91.2,62.8,0.042,10.24,108.5,98.3,1.27,1918.7511321064255
54,2005,1150,7,32.0,0.5630374470389634,0.5013850378511888,0.15347213090746636,0.37309722450686367,0.424348569994201,0.37719377826784506,114.37454208757927,105.02820274266614,14.140677607087985,0.6604197643662922,0.6832617618981346,0.75,12.15,111.6,99.5,70.6,0.042,3.68,104.9,101.2,-1.74,1776.113465835004
55,2005,1278,8,47.0,0.5722973397837268,0.508782309363668,0.20627657800133775,0.3612314372326168,0.40939801640085405,0.38873805815245305,106.0488602840795,97.57359466485133,15.225278317697896,0.6771189812153446,0.7038207563674752,0.6774193548387096,14.06,104.0,89.9,67.3,0.016,6.18,106.0,99.8,-3.99,1735.0500797590637
56,2005,1235,9,63.0,0.5504574901631051,0.47495505023398776,0.16268650712091842,0.3295548070108462,0.3636913289018465,0.3511183076112709,104.70086030258513,98.14776335549892,15.166285108962681,0.6660505789737234,0.7045092692421802,0.6206896551724138,13.02,103.1,90.1,66.8,0.003,7.22,107.5,100.3,-3.06,1722.3583780688239
57,2005,1301,10,87.0,0.5680685837057124,0.5405553026204825,0.16047539542291606,0.3278295346418535,0.40836631450249006,0.3831618240076662,117.34937131099402,105.62518830549084,16.561422834921743,0.6432135224878227,0.6975245537994327,0.59375,18.93,115.0,96.1,63.1,-0.062,10.05,108.3,98.3,-3.82,1875.4233338404424
58,2005,1320,11,36.0,0.5684037687096506,0.5482158479831623,0.15601654183307986,0.27282831657186657,0.3347865287328663,0.3630741172758381,114.61456950939797,105.43937179671425,17.271725397180163,0.7170965985899975,0.6990738893033207,0.6666666666666666,13.36,112.2,98.9,64.5,-0.035,5.44,105.8,100.3,1.09,1643.1295987387684
59,2005,1307,12,85.0,0.605045008563338,0.5839309036240125,0.18127613702653003,0.32607334806689636,0.448002761395334,0.41130647952891686,118.949913202311,102.20900841308716,16.228998119765617,0.6856101162771503,0.6817304715382778,0.8064516129032258,15.54,112.8,97.3,65.4,-0.002,-0.46,103.4,103.9,-10.69,1730.3418184127677
60,2005,1325,13,58.0,0.5574674248313675,0.5193032059344306,0.1701879490487671,0.3344709817981491,0.4971813235484267,0.39173966452785786,113.2582331712216,107.5450426360447,13.14334702222175,0.6470211532270553,0.6985578303174262,0.6774193548387096,8.29,109.8,101.5,65.7,0.042,2.72,104.9,102.2,-4.24,1598.9070577290536
61,2005,1137,14,61.0,0.6139189801063724,0.5192560390414511,0.217731178487215,0.31605848432683814,0.4530697047333674,0.3933073628137569,104.73108308201176,95.96767717090532,14.619004903059093,0.6761277878735334,0.6857656891766769,0.7096774193548387,6.69,102.2,95.6,63.1,0.063,-2.34,101.4,103.7,2.28,1505.7731898425461
62,2005,1416,15,90.0,0.5546677956688454,0.5457616821746418,0.20422111913071014,0.38221505212335133,0.37751477899406255,0.40243017992631397,113.89598826452377,108.4678411446719,16.930018216703214,0.6752761574368923,0.701903490211716,0.7241379310344828,-2.56,105.0,107.6,60.1,0.067,-8.61,99.0,107.7,-4.62,1541.4130160408356
63,2005,1105,16,237.0,0.5421286016093178,0.45455211051656497,0.1784281076542325,0.31082450427057423,0.45051530674830037,0.356170067986544,98.00195480144919,96.1391650673385,13.149029697038385,0.6381719890197155,0.6221712604756212,0.5517241379310345,-12.49,90.5,102.9,72.8,-0.023,-14.52,92.4,106.9,1.14,1325.6024886192379
64,2005,1324,16,219.0,0.4762734198628927,0.5070977746664553,0.15516507195111223,0.3393575736695279,0.3950485299652786,0.3687591720830576,111.61557180290032,116.09384926991424,15.799599741303656,0.6512928596510443,0.6673980850372598,0.3793103448275862,-1.2,108.1,109.3,65.2,-0.022,1.99,105.2,103.2,14.37,1457.1037184226307
65,2006,1181,1,1.0,0.6446829467873895,0.5658025484524827,0.16516776916944878,0.3042621771632208,0.45692320214635473,0.3970038774279528,121.27045406862622,101.03919770624103,15.87614082025718,0.628355455650994,0.7604111759569204,0.9090909090909091,27.54,119.4,91.8,69.8,0.047,10.51,108.1,97.6,6.81,2120.0419533352638
66,2006,1400,2,7.0,0.6854964781620354,0.5311127674414848,0.17035309391852366,0.4174528677344568,0.3637600089874341,0.3930879553512313,119.47082626357171,94.82453137691454,15.55621461637109,0.713163182961277,0.7302105397037922,0.8181818181818182,25.79,117.5,91.7,63.9,0.039,7.79,106.1,98.3,-0.02,1923.9394688527318
67,2006,1234,3,14.0,0.6258539351748701,0.4865867273544223,0.19106441263750104,0.31597431154323363,0.39639529976334986,0.36505495137429345,103.90877811101942,92.24919298195394,15.965563752778799,0.707336396810337,0.7019784333649656,0.7575757575757576,18.22,103.8,85.6,64.7,0.046,7.86,107.7,99.9,-0.77,1867.5793025750543
68,2006,1261,4,11.0,0.6335608237428383,0.5130359922004242,0.1855118769559361,0.4070283867629931,0.3811417846707894,0.3901693111723707,112.13814282763491,98.6461981351142,15.711924550679873,0.6994820017025334,0.6890000673738474,0.7333333333333333,22.0,109.8,87.8,67.5,0.008,10.68,108.3,97.6,1.75,1891.9851080867254
69,2006,1393,5,43.0,0.5737318770506065,0.5078202213383284,0.1825028258794526,0.35958757840384004,0.34833346459676373,0.37292133037547703,108.21577089445353,102.57611300889901,15.641587653983983,0.641786325030286,0.6482149056209371,0.6764705882352942,13.15,110.0,96.8,68.3,0.077,8.71,107.5,98.8,-3.79,1854.1816692107034
70,2006,1452,6,26.0,0.5481259743565312,0.5339919427500861,0.11704043626949517,0.2280387648972551,0.22811141545238464,0.322681351464717,115.27288855964814,106.56212281534133,19.613882457820054,0.624350902677524,0.7222200237344174,0.6551724137931034,19.49,116.1,96.6,62.5,-0.046,10.37,108.4,98.0,-0.49,1808.0098662059452
71,2006,1143,7,59.0,0.5563451798771817,0.5032989975957771,0.16628232301969267,0.3130958043641795,0.4633182622894232,0.37500708000948346,110.88861800663479,104.35606694833021,14.755384169233512,0.7034698053999702,0.7204287512797845,0.6666666666666666,13.68,110.5,96.8,61.9,0.021,7.59,106.8,99.3,-0.77,1738.5502309997269
72,2006,1203,8,22.0,0.6344542294444794,0.5259482971975142,0.16504662608230472,0.3845330425792035,0.43467708657213766,0.39374914690124324,115.30571845129869,97.07984934718282,16.783099368298252,0.6752380549624546,0.6487882623836965,0.9285714285714286,14.67,110.3,95.6,71.2,0.106,-1.23,101.1,102.4,-15.01,1846.1032778605886
73,2006,1423,9,27.0,0.6116960115909211,0.4867269729591708,0.16005429044797434,0.3382071895957215,0.33277552063836496,0.35226212781056093,108.21030331659588,94.02107486749242,16.36103620386307,0.6958168495538564,0.6885244845016842,0.78125,14.77,107.2,92.4,62.6,-0.006,1.59,103.6,102.0,0.11,1701.9287297444532
74,2006,1301,10,40.0,0.6004832561153024,0.5605062673304722,0.1783106674610958,0.2842543546423696,0.413905548753919,0.3877168770390246,116.82563891215645,104.29140397002436,17.108749421144594,0.6507522761274984,0.7430062840626029,0.7,15.92,112.5,96.6,64.4,0.013,6.74,107.1,100.3,-7.99,1858.9302074819177
75,2006,1356,11,31.0,0.5594084444530272,0.46951768926442405,0.19384033342858825,0.34503971380571496,0.35948211055749735,0.3591974184076844,101.78086474554631,92.75669833406081,14.287562673498204,0.6897990760404301,0.6923419655550386,0.7096774193548387,13.6,102.9,89.3,60.7,0.032,5.81,103.6,97.8,0.44,1751.4865301583995
76,2006,1401,12,49.0,0.6048750491050228,0.5122083126836715,0.1763644563986162,0.31300661096138027,0.4480462353035547,0.3787826966609319,109.7805116737112,96.1432645677227,17.92298801187134,0.6785046290141277,0.6633179769563187,0.7241379310344828,15.9,106.7,90.8,63.0,-0.008,4.22,104.8,100.6,-12.2,1734.7737924714218
77,2006,1233,13,62.0,0.5894459033657456,0.5425948278846294,0.17629030598899303,0.38298524787385935,0.42067120106306555,0.4008082373853319,117.50866394921894,105.2625864354439,15.619326721261887,0.656041215999826,0.6837484853613555,0.7666666666666667,11.33,109.7,98.4,69.6,0.024,0.66,106.0,105.3,3.83,1601.5601555623025
78,2006,1322,14,67.0,0.5603971016601477,0.5233900566953229,0.18936426486290134,0.37102487402932305,0.4207461816503836,0.3940139909472766,112.35466133175328,103.18998580111726,16.47063334534534,0.6404550185828906,0.6809433327906492,0.7586206896551724,7.51,106.6,99.1,67.6,0.016,-1.45,102.2,103.6,10.25,1547.9456226236605
79,2006,1335,15,93.0,0.5894506884394126,0.5085164643261693,0.1776604801368963,0.31007434733855305,0.3582184190777884,0.3635693380940706,108.3470144843896,94.29187146089511,15.557117259569178,0.691950022656489,0.6575116591606772,0.7037037037037037,7.3,101.8,94.5,64.3,-0.03,-5.06,100.0,105.0,1.85,1662.462020199043
80,2006,1380,16,144.0,0.545294434824999,0.4796406285171062,0.2156486599308508,0.3725896008700581,0.3423027524937445,0.3716317494376285,99.73342118747887,98.09939032708371,12.848723073763598,0.6561105704601216,0.6528253573325977,0.6129032258064516,-3.4,96.2,99.6,64.8,0.081,-7.68,96.6,104.3,13.07,1356.7136420059383
81,2006,1272,1,4.0,0.6661981300855143,0.5106049873422771,0.1759304203767868,0.41263414236192175,0.4111149562886502,0.3924186719467894,114.54636864139385,93.1686083983304,14.881669427811406,0.676329732820167,0.6862375775441433,0.9090909090909091,23.54,113.2,89.6,70.8,-0.006999999999999999,3.89,103.9,100.0,7.82,1900.7264887409608
82,2006,1417,2,13.0,0.6323422399583304,0.5446875763708592,0.19778123406603065,0.3793389027442504,0.38350122248607726,0.400713302986613,114.04716633736516,97.71932636446175,15.820291902479932,0.6987813286480715,0.6993938762811597,0.8181818181818182,23.4,112.7,89.3,61.6,0.02,8.3,107.4,99.1,1.6,1885.683412322417
